Gene,AUC,clusts,p.value,,,,
Bcl7c,0.963045085,7,1.28E-13,,,,
Ccdc157,0.96286031,7,1.42E-14,,,,
Gm52,0.96286031,7,7.18E-17,,,,
Sspn,0.962675536,7,1.93E-21,,,,
Mbd5,0.962675536,7,4.76E-10,,,,
Prox1,0.962675536,7,6.60E-24,,,,
Gpr116,0.962675536,7,1.11E-18,,,,
Ankrd43,0.962675536,7,1.89E-23,,,,
Med26,0.962490761,7,3.56E-09,,,,
Donson,0.962305987,7,3.31E-09,,,,
1190005I06Rik,0.962305987,7,2.32E-25,,,,
Gm13119,0.962305987,7,3.80E-14,,,,
Pppde1,0.962305987,7,4.43E-09,,,,
Ttc30b,0.962121212,7,2.00E-12,,,,
Fam184a,0.962121212,7,1.90E-19,,,,
Slc1a4,0.961936438,7,4.54E-15,,,,
Zfp939,0.961936438,7,1.44E-09,,,,
Phospho2,0.961936438,7,1.63E-09,,,,
Ficd,0.961936438,7,7.53E-10,,,,
Smarca2,0.961751663,7,8.14E-10,,,,
Srpk2,0.961751663,7,5.32E-09,,,,
Ppm1h,0.961751663,7,4.16E-14,,,,
Atxn1,0.961751663,7,7.27E-10,,,,
Mettl9,0.961751663,7,4.41E-09,,,,
Fgf7,0.961474501,7,9.03E-24,,,,
Nav3,0.961197339,7,1.44E-09,,,,
Mbd3l2,0.961197339,7,1.05E-12,,,,
Mpdz,0.961197339,7,8.97E-12,,,,
Cdh17,0.960643016,7,3.11E-21,,,,
Rbm38,0.960458241,7,5.22E-09,,,,
Sertad1,0.960273466,7,4.79E-09,,,,
Rilpl2,0.960273466,7,1.17E-14,,,,
Klhl6,0.960273466,7,2.44E-22,,,,
B4galnt2,0.960273466,7,3.32E-09,,,,
Mcc,0.960088692,7,1.84E-12,,,,
Rcan3,0.960088692,7,3.06E-14,,,,
Sesn2,0.959903917,7,2.48E-09,,,,
Hif3a,0.959719143,7,1.58E-15,,,,
Nptx2,0.959719143,7,3.31E-15,,,,
Dtx3l,0.959719143,7,6.82E-12,,,,
Epha3,0.959534368,7,4.04E-21,,,,
Kctd3,0.959534368,7,6.68E-09,,,,
Klhdc2,0.959534368,7,6.45E-09,,,,
Cntn4,0.959349593,7,4.32E-20,,,,
Fa2h,0.959349593,7,8.87E-20,,,,
Ccdc99,0.959349593,7,7.13E-09,,,,
Slc34a2,0.959349593,7,7.17E-09,,,,
D10Bwg1379e,0.959349593,7,4.22E-21,,,,
Cacna1h,0.959164819,7,4.51E-20,,,,
Trim13,0.959164819,7,7.11E-09,,,,
Zp3,0.959164819,7,3.84E-10,,,,
Pag1,0.959164819,7,3.08E-12,,,,
H2-Q6,0.958980044,7,1.95E-09,,,,
Glis3,0.958980044,7,3.74E-19,,,,
Gadd45b,0.95879527,7,1.00E-10,,,,
Ncoa2,0.95879527,7,3.42E-09,,,,
Ssx2ip,0.95879527,7,7.00E-09,,,,
Elk4,0.958610495,7,1.62E-09,,,,
Plek,0.958610495,7,8.05E-15,,,,
Pax2,0.958425721,7,6.73E-25,,,,
Tdpoz4,0.958425721,7,1.60E-14,,,,
Jhdm1d,0.958425721,7,7.66E-09,,,,
Tlcd2,0.958240946,7,2.42E-12,,,,
Prokr2,0.958056171,7,6.51E-16,,,,
Nav2,0.957871397,7,6.09E-09,,,,
Egfr,0.957871397,7,5.37E-18,,,,
Tnfrsf12a,0.957871397,7,3.14E-09,,,,
Scaf4,0.957686622,7,8.03E-09,,,,
Wasf3,0.957686622,7,8.24E-25,,,,
Usp53,0.957501848,7,5.14E-09,,,,
Med14,0.957501848,7,8.68E-09,,,,
Ctif,0.957501848,7,5.13E-19,,,,
D0H4S114,0.957317073,7,6.81E-20,,,,
Tk2,0.957317073,7,5.21E-10,,,,
BC017647,0.957132299,7,6.07E-09,,,,
Plcb1,0.957132299,7,5.55E-19,,,,
H2-Q10,0.956947524,7,4.22E-09,,,,
Midn,0.956947524,7,8.48E-09,,,,
Slc10a6,0.956947524,7,4.26E-13,,,,
Myom3,0.956762749,7,3.69E-20,,,,
Dennd4a,0.956762749,7,2.21E-09,,,,
Igsf11,0.9563932,7,1.23E-18,,,,
Usp50,0.9563932,7,6.33E-22,,,,
C2cd3,0.9563932,7,3.72E-09,,,,
Pnma5,0.956023651,7,2.98E-09,,,,
Zfp385b,0.955838877,7,7.25E-22,,,,
Zfp553,0.955838877,7,4.65E-09,,,,
Bmp2k,0.955654102,7,1.86E-14,,,,
Dcaf5,0.955654102,7,6.47E-09,,,,
Daam1,0.955284553,7,1.01E-08,,,,
2410089E03Rik,0.955099778,7,1.04E-08,,,,
Slc6a7,0.955099778,7,9.43E-18,,,,
Ophn1,0.954915004,7,3.95E-14,,,,
Zrsr1,0.954915004,7,6.00E-10,,,,
Vsx2,0.954730229,7,4.83E-19,,,,
Klf16,0.954730229,7,1.07E-08,,,,
Ralgps2,0.954545455,7,1.15E-08,,,,
Tcfap2e,0.95436068,7,1.19E-14,,,,
Rb1,0.95436068,7,1.19E-14,,,,
Fsd1,0.95436068,7,6.49E-24,,,,
Tbcc,0.954175905,7,5.96E-09,,,,
Alms1,0.954175905,7,1.15E-08,,,,
Akt3,0.954175905,7,7.97E-09,,,,
Dzip3,0.954175905,7,2.35E-09,,,,
Syngr3,0.954175905,7,3.14E-13,,,,
H2-Q8,0.953991131,7,6.52E-12,,,,
Gm13128,0.953806356,7,4.33E-09,,,,
Arhgap44,0.953806356,7,4.96E-10,,,,
Zfp599,0.953621582,7,1.26E-08,,,,
Dscam,0.953621582,7,1.18E-18,,,,
Mapk8,0.953621582,7,3.63E-09,,,,
Dnahc10,0.953621582,7,2.62E-16,,,,
Zfp954,0.953436807,7,8.30E-09,,,,
Nrn1l,0.953436807,7,6.45E-17,,,,
Zfp229,0.953252033,7,1.22E-09,,,,
Slc25a16,0.953067258,7,1.38E-08,,,,
Cep135,0.952882483,7,8.97E-10,,,,
2310061I04Rik,0.952697709,7,1.37E-08,,,,
Cry1,0.952697709,7,1.02E-08,,,,
E2f1,0.952697709,7,1.21E-08,,,,
6230427J02Rik,0.952697709,7,1.37E-13,,,,
Pdpr,0.952697709,7,6.71E-10,,,,
Lgals12,0.952512934,7,1.26E-16,,,,
Scml2,0.952512934,7,3.90E-15,,,,
Hipk2,0.95232816,7,3.22E-09,,,,
Zfp318,0.95232816,7,1.25E-08,,,,
Atxn1l,0.95232816,7,1.37E-08,,,,
Isg15,0.95195861,7,3.89E-24,,,,
Gm7244,0.95195861,7,3.45E-13,,,,
Slc26a1,0.951866223,7,4.58E-19,,,,
A630072M18Rik,0.951773836,7,1.27E-09,,,,
BC018507,0.951773836,7,1.65E-08,,,,
Dgkk,0.951773836,7,3.18E-17,,,,
Zfp738,0.951589061,7,8.88E-09,,,,
Slc25a25,0.951404287,7,9.76E-09,,,,
Dip2b,0.951219512,7,1.75E-08,,,,
Socs5,0.951219512,7,3.07E-12,,,,
Tanc2,0.951034738,7,1.97E-10,,,,
Foxk2,0.951034738,7,1.02E-08,,,,
Cabin1,0.950849963,7,1.79E-08,,,,
Mn1,0.950665188,7,1.43E-13,,,,
Lbh,0.950480414,7,2.99E-16,,,,
Micall1,0.950110865,7,1.61E-11,,,,
Hexim1,0.950110865,7,1.53E-08,,,,
Pdzd2,0.949741316,7,1.30E-10,,,,
Mpp5,0.949741316,7,1.66E-08,,,,
Aste1,0.949556541,7,1.25E-08,,,,
Pim1,0.949371766,7,2.12E-08,,,,
Pdxp,0.949371766,7,1.14E-08,,,,
Runx2,0.949002217,7,3.47E-12,,,,
Dtx2,0.948817443,7,1.27E-08,,,,
Clock,0.948447894,7,7.98E-09,,,,
Tbx19,0.948447894,7,9.08E-23,,,,
Chst5,0.948263119,7,1.19E-19,,,,
Ptpdc1,0.948263119,7,2.48E-20,,,,
Rassf3,0.948263119,7,2.15E-08,,,,
Abhd6,0.94789357,7,1.34E-08,,,,
Agap1,0.94789357,7,3.76E-09,,,,
Efnb2,0.947708795,7,2.44E-08,,,,
Parp10,0.947524021,7,5.35E-32,,,,
Armc7,0.947524021,7,2.25E-08,,,,
Psd3,0.947339246,7,3.23E-13,,,,
Apom,0.947339246,7,1.48E-12,,,,
Nmb,0.947154472,7,1.90E-08,,,,
Fam131a,0.947154472,7,2.91E-14,,,,
Pptc7,0.947154472,7,1.81E-08,,,,
Ldhc,0.947154472,7,7.10E-20,,,,
Prkrir,0.946969697,7,2.74E-08,,,,
Mtus1,0.946969697,7,2.77E-08,,,,
Fam135a,0.946600148,7,1.31E-09,,,,
Acbd5,0.946415373,7,2.91E-08,,,,
Lmx1a,0.946415373,7,7.56E-19,,,,
Grip1,0.946230599,7,1.41E-10,,,,
Rragc,0.946230599,7,2.93E-08,,,,
Phlpp2,0.946230599,7,1.60E-09,,,,
Ccnjl,0.946045824,7,2.86E-26,,,,
Spast,0.946045824,7,2.93E-08,,,,
Prkar2b,0.946045824,7,1.95E-19,,,,
Ankrd35,0.945676275,7,1.18E-12,,,,
Tiam2,0.945306726,7,6.26E-09,,,,
Spata2,0.945121951,7,3.27E-08,,,,
Ankrd13c,0.945121951,7,3.39E-08,,,,
Ddx43,0.945121951,7,1.08E-13,,,,
Ankra2,0.944937177,7,6.86E-09,,,,
Ier5,0.944937177,7,2.04E-18,,,,
Apitd1,0.944752402,7,3.51E-08,,,,
Dda1,0.944752402,7,3.51E-08,,,,
Mctp1,0.944752402,7,2.34E-22,,,,
Ric3,0.944660015,7,2.53E-17,,,,
Trim41,0.944567627,7,2.84E-08,,,,
Zfyve20,0.944567627,7,3.21E-08,,,,
Etaa1,0.944013304,7,3.74E-08,,,,
Fut11,0.943828529,7,3.94E-12,,,,
Fam49a,0.943643755,7,7.57E-13,,,,
4921531C22Rik,0.943643755,7,9.82E-13,,,,
Fam72a,0.943643755,7,2.02E-09,,,,
Mocs3,0.94345898,7,1.87E-08,,,,
Fbxo45,0.94345898,7,1.71E-08,,,,
Dock7,0.943274205,7,2.29E-09,,,,
Gm1141,0.943274205,7,3.94E-23,,,,
Gm15319,0.943181818,7,3.56E-20,,,,
Plag1,0.943089431,7,3.53E-12,,,,
Tmprss11a,0.942904656,7,3.75E-22,,,,
Rbp7,0.942904656,7,1.82E-16,,,,
4930473A06Rik,0.942535107,7,1.18E-08,,,,
Mid1ip1,0.942165558,7,1.59E-12,,,,
Iqca,0.942165558,7,1.23E-12,,,,
Jam3,0.942073171,7,5.23E-15,,,,
Ube2o,0.941796009,7,4.60E-08,,,,
Fbxo16,0.941611234,7,7.27E-11,,,,
Dab1,0.941611234,7,3.76E-14,,,,
Speer8-ps1,0.941518847,7,2.55E-19,,,,
Zfp513,0.94142646,7,3.19E-08,,,,
Arid4a,0.94142646,7,4.97E-08,,,,
Uspl1,0.941241685,7,5.16E-08,,,,
Mllt11,0.941241685,7,1.61E-11,,,,
Zfp760,0.941241685,7,1.20E-10,,,,
Hook1,0.940872136,7,1.09E-10,,,,
Rad9b,0.940779749,7,5.56E-17,,,,
Usp51,0.940687361,7,7.44E-24,,,,
Wasf1,0.940687361,7,1.62E-09,,,,
Gpr3,0.940687361,7,5.09E-09,,,,
Mmp19,0.940502587,7,1.94E-15,,,,
Erc2,0.940502587,7,4.60E-15,,,,
Camsap1l1,0.940317812,7,5.61E-08,,,,
Cpeb4,0.940317812,7,2.19E-09,,,,
Sdc1,0.939948263,7,2.29E-09,,,,
Hccs,0.939578714,7,5.32E-08,,,,
Gltpd1,0.939578714,7,4.28E-08,,,,
Gsg2,0.939393939,7,4.65E-08,,,,
Olfr20,0.939209165,7,2.11E-25,,,,
Trim69,0.939209165,7,1.11E-23,,,,
Vmn2r94,0.938839616,7,5.43E-26,,,,
Zfp809,0.938839616,7,6.60E-08,,,,
Pip5k1a,0.938839616,7,4.06E-08,,,,
Hp,0.938654841,7,6.42E-15,,,,
Rps6ka6,0.938654841,7,7.70E-10,,,,
Rimkla,0.938285292,7,2.57E-09,,,,
Uhmk1,0.938100517,7,6.89E-09,,,,
EU599041,0.937730968,7,7.43E-08,,,,
Rnf14,0.937730968,7,7.48E-08,,,,
1700093K21Rik,0.937730968,7,4.93E-18,,,,
Kif1b,0.937546194,7,7.56E-08,,,,
Pld6,0.937546194,7,1.52E-12,,,,
Evl,0.937361419,7,1.20E-12,,,,
Usp47,0.937361419,7,3.15E-08,,,,
Mtap2,0.93699187,7,1.16E-13,,,,
Glt25d2,0.936807095,7,1.52E-18,,,,
BC027231,0.936807095,7,6.57E-08,,,,
Synm,0.936437546,7,1.24E-17,,,,
Rab12,0.935698448,7,8.89E-08,,,,
Zhx3,0.935144124,7,9.61E-10,,,,
Clip2,0.93495935,7,7.11E-09,,,,
Slain2,0.934774575,7,1.01E-07,,,,
Arrdc2,0.9345898,7,4.02E-09,,,,
Gm1527,0.9345898,7,3.13E-24,,,,
Epc2,0.934405026,7,1.06E-07,,,,
4933404O12Rik,0.934312639,7,6.23E-11,,,,
Plekho2,0.934220251,7,5.58E-08,,,,
Nup98,0.934220251,7,9.15E-08,,,,
Ephb1,0.933850702,7,1.36E-19,,,,
3110052M02Rik,0.933850702,7,4.35E-08,,,,
Gata4,0.933481153,7,2.63E-08,,,,
Nedd9,0.933296378,7,1.55E-19,,,,
Scoc,0.933296378,7,8.67E-08,,,,
Spon1,0.933296378,7,3.42E-11,,,,
2810429I04Rik,0.933019217,7,3.93E-12,,,,
Ubn1,0.932742055,7,1.24E-07,,,,
Fbxo34,0.932372506,7,8.49E-08,,,,
Cdc25c,0.932187731,7,1.25E-07,,,,
Gfod1,0.932187731,7,2.20E-11,,,,
Leng1,0.932002956,7,7.80E-08,,,,
Fam123b,0.932002956,7,3.20E-16,,,,
4932438A13Rik,0.931818182,7,1.20E-07,,,,
Pde6a,0.931448633,7,5.08E-14,,,,
Stx5a,0.931263858,7,1.44E-07,,,,
Oaz2-ps,0.931263858,7,1.41E-07,,,,
Ssh3,0.931079084,7,1.01E-09,,,,
9130023H24Rik,0.931079084,7,1.41E-12,,,,
Lbp,0.930894309,7,6.02E-19,,,,
Ngef,0.930894309,7,1.12E-15,,,,
Snapc3,0.930709534,7,1.12E-07,,,,
Tsks,0.930709534,7,5.13E-20,,,,
Kif3c,0.93052476,7,3.87E-09,,,,
Ahdc1,0.93052476,7,1.14E-07,,,,
D630037F22Rik,0.930339985,7,4.30E-11,,,,
Mapkapk5,0.929970436,7,1.69E-07,,,,
Zswim4,0.929600887,7,1.16E-08,,,,
Cubn,0.929600887,7,1.93E-09,,,,
Gal3st2,0.929416112,7,2.24E-14,,,,
Itga10,0.929323725,7,5.42E-16,,,,
Helq,0.929231338,7,1.35E-07,,,,
Zswim3,0.929231338,7,1.45E-07,,,,
Fryl,0.929046563,7,1.78E-07,,,,
BC031361,0.928861789,7,5.45E-23,,,,
Ttyh3,0.928861789,7,1.55E-08,,,,
Ints6,0.928861789,7,1.87E-07,,,,
Arhgap39,0.928861789,7,1.26E-08,,,,
Trim44,0.928677014,7,8.87E-08,,,,
Cdkl5,0.928584627,7,1.02E-18,,,,
Csrnp1,0.928492239,7,1.84E-07,,,,
Brpf1,0.928492239,7,1.94E-07,,,,
Kdm4d,0.928307465,7,4.79E-18,,,,
Cdk2ap2,0.928307465,7,1.98E-07,,,,
Zfp948,0.928307465,7,8.70E-10,,,,
Dact3,0.92812269,7,9.46E-13,,,,
Setdb2,0.927937916,7,1.04E-07,,,,
Lgi2,0.927753141,7,2.61E-18,,,,
Cltb,0.927568367,7,1.11E-07,,,,
Ap4e1,0.927383592,7,2.11E-07,,,,
AI427809,0.927291205,7,8.33E-17,,,,
Prcc,0.927198817,7,2.26E-07,,,,
Zcchc16,0.927198817,7,6.32E-19,,,,
Atp4b,0.926829268,7,1.53E-09,,,,
Tmtc1,0.926829268,7,8.58E-11,,,,
Trim59,0.926644494,7,2.24E-07,,,,
Ptpn9,0.926644494,7,8.78E-09,,,,
Nfix,0.926552106,7,1.22E-12,,,,
Cst7,0.926459719,7,4.31E-09,,,,
Ncoa1,0.926459719,7,2.39E-07,,,,
Trappc10,0.926274945,7,2.22E-07,,,,
Hspa2,0.926274945,7,1.70E-08,,,,
Fam33a,0.926274945,7,2.16E-07,,,,
Hdac9,0.926182557,7,6.54E-09,,,,
Msl2,0.925905395,7,2.46E-07,,,,
Elf1,0.925905395,7,2.14E-07,,,,
Amd1,0.925905395,7,2.32E-08,,,,
Mast2,0.925166297,7,2.64E-07,,,,
Ccdc36,0.924981523,7,2.61E-07,,,,
Gm2694,0.924981523,7,1.91E-10,,,,
Ttc28,0.924981523,7,4.84E-12,,,,
Sh3yl1,0.924611973,7,9.40E-10,,,,
1700019M22Rik,0.924519586,7,1.38E-20,,,,
Osbpl11,0.924242424,7,3.03E-07,,,,
9930012K11Rik,0.923872875,7,1.24E-11,,,,
Errfi1,0.923503326,7,1.37E-07,,,,
Nfat5,0.923318551,7,7.09E-08,,,,
Fam107a,0.922949002,7,1.11E-15,,,,
Slc9a1,0.922949002,7,2.85E-07,,,,
Dynll2,0.922764228,7,3.42E-07,,,,
Fzd4,0.922764228,7,7.75E-19,,,,
Sertad2,0.922764228,7,1.14E-07,,,,
1700017B05Rik,0.922394678,7,2.25E-07,,,,
Glrx2,0.922209904,7,3.14E-07,,,,
A630066F11Rik,0.922025129,7,3.29E-21,,,,
Tslp,0.921747967,7,4.69E-18,,,,
Ddx28,0.92165558,7,2.76E-07,,,,
Zc3h12a,0.92165558,7,6.35E-08,,,,
Rasgef1b,0.921470806,7,2.11E-17,,,,
BC057022,0.921470806,7,4.06E-14,,,,
Echdc3,0.921101256,7,2.19E-09,,,,
Ankrd28,0.921101256,7,4.13E-07,,,,
AW011738,0.920731707,7,7.39E-30,,,,
Mknk2,0.920731707,7,4.35E-07,,,,
Zfp667,0.920731707,7,1.25E-08,,,,
Rictor,0.920546933,7,4.43E-07,,,,
Tmem201,0.920546933,7,4.43E-07,,,,
Trak2,0.920546933,7,4.38E-07,,,,
Pacs2,0.920362158,7,1.69E-07,,,,
Rbm15b,0.920362158,7,1.42E-07,,,,
Nes,0.919807834,7,2.89E-11,,,,
Ampd1,0.919530673,7,3.20E-17,,,,
Cdk5r1,0.919068736,7,3.03E-10,,,,
Abtb2,0.919068736,7,1.20E-11,,,,
Hbegf,0.918883962,7,1.12E-09,,,,
4930550C14Rik,0.918791574,7,3.11E-13,,,,
AW555464,0.918699187,7,4.66E-07,,,,
Dcaf6,0.918514412,7,3.43E-07,,,,
Arl3,0.918514412,7,1.79E-07,,,,
Fam43b,0.918422025,7,7.64E-23,,,,
Plk3,0.918329638,7,1.83E-07,,,,
Ctnnbip1,0.918329638,7,2.73E-07,,,,
Glis1,0.918052476,7,1.06E-17,,,,
Zfp142,0.917960089,7,4.93E-07,,,,
2810453I06Rik,0.917775314,7,3.56E-07,,,,
Pkp4,0.917775314,7,5.87E-07,,,,
Dyrk3,0.917775314,7,4.66E-07,,,,
Cdkl2,0.91759054,7,3.70E-07,,,,
Alox12,0.917405765,7,3.77E-07,,,,
Zbtb37,0.91722099,7,1.90E-08,,,,
Zfp781,0.91722099,7,2.51E-07,,,,
Nr4a2,0.917036216,7,8.50E-11,,,,
Prr11,0.917036216,7,6.34E-07,,,,
Tulp4,0.916666667,7,4.15E-07,,,,
Pdk1,0.916666667,7,2.28E-09,,,,
Ybx2,0.916297118,7,4.06E-07,,,,
Hmgxb3,0.915742794,7,7.19E-07,,,,
Gm17019,0.915742794,7,5.22E-13,,,,
Phf10,0.915742794,7,3.57E-07,,,,
Cic,0.915558019,7,7.32E-07,,,,
Cobl,0.915558019,7,3.16E-19,,,,
Phkg1,0.915373245,7,1.08E-10,,,,
Syne2,0.915373245,7,6.70E-07,,,,
Ankrd52,0.91518847,7,3.02E-07,,,,
Tktl1,0.915003695,7,7.97E-08,,,,
Ddit3,0.915003695,7,1.91E-07,,,,
Mxra8,0.915003695,7,1.66E-12,,,,
Trp53inp2,0.914818921,7,6.53E-07,,,,
Stox1,0.914634146,7,1.50E-14,,,,
Sbf2,0.914449372,7,1.47E-07,,,,
Slc25a23,0.914264597,7,9.19E-08,,,,
Gm9766,0.91417221,7,4.96E-10,,,,
Dos,0.914079823,7,8.43E-07,,,,
Prkd3,0.914079823,7,3.63E-12,,,,
Zfp574,0.913895048,7,7.51E-07,,,,
Bex6,0.913895048,7,2.57E-08,,,,
Mapk9,0.913710273,7,6.71E-07,,,,
Tinf2,0.91315595,7,9.21E-07,,,,
Bmpr2,0.91315595,7,1.45E-07,,,,
Plekha2,0.91315595,7,1.18E-13,,,,
Rprd1b,0.912786401,7,9.65E-07,,,,
Samhd1,0.912416851,7,2.84E-07,,,,
Maml1,0.912416851,7,1.13E-07,,,,
2900006K08Rik,0.912232077,7,4.36E-11,,,,
Rnf19a,0.912047302,7,4.56E-07,,,,
Usp26,0.912047302,7,7.27E-19,,,,
BC031353,0.912047302,7,1.32E-07,,,,
BC033916,0.912047302,7,9.55E-07,,,,
Zfp677,0.911862528,7,4.16E-18,,,,
Gabpb1,0.911677753,7,1.06E-06,,,,
Sbk1,0.911400591,7,1.34E-07,,,,
Zfp770,0.911123429,7,3.13E-07,,,,
Fam83d,0.911031042,7,6.68E-07,,,,
Srf,0.910938655,7,1.13E-06,,,,
Mogat1,0.910938655,7,1.92E-20,,,,
Ipmk,0.910938655,7,9.33E-07,,,,
Pou6f2,0.910846268,7,4.34E-23,,,,
B3gntl1,0.910569106,7,1.57E-09,,,,
Slc16a10,0.910384331,7,2.51E-07,,,,
Tef,0.910014782,7,9.59E-13,,,,
4931440F15Rik,0.909552846,7,9.28E-09,,,,
Fam40a,0.909460458,7,1.26E-06,,,,
Taf4a,0.909460458,7,1.23E-06,,,,
D430042O09Rik,0.909460458,7,1.65E-08,,,,
Limd1,0.909090909,7,5.85E-07,,,,
Fabp9,0.909090909,7,1.39E-10,,,,
Pramef8,0.908906135,7,6.68E-07,,,,
Snora47,0.908813747,7,3.28E-12,,,,
Ttll4,0.90872136,7,9.98E-07,,,,
Qsox2,0.908536585,7,3.49E-07,,,,
Rap2a,0.908167036,7,4.61E-07,,,,
Grk4,0.908167036,7,3.18E-08,,,,
Slc7a5,0.907612712,7,1.62E-06,,,,
Smox,0.907612712,7,2.14E-10,,,,
Parp9,0.907612712,7,1.05E-08,,,,
Gm9758,0.907612712,7,5.52E-14,,,,
Ttc3,0.907427938,7,1.60E-06,,,,
Acsl1,0.907427938,7,1.17E-07,,,,
Ttc30a2,0.907243163,7,3.05E-12,,,,
Phf8,0.907058389,7,1.50E-06,,,,
4930467E23Rik,0.906966001,7,9.86E-19,,,,
Dusp18,0.90668884,7,2.55E-08,,,,
Rab35,0.90668884,7,1.76E-06,,,,
Cnot6,0.90668884,7,1.72E-06,,,,
Bambi,0.906504065,7,8.41E-08,,,,
Usp49,0.906504065,7,4.32E-07,,,,
Shb,0.906134516,7,3.02E-08,,,,
Spert,0.906134516,7,4.05E-23,,,,
Tspyl2,0.905949741,7,1.82E-13,,,,
Rdh12,0.905857354,7,7.22E-18,,,,
Lrp12,0.905672579,7,6.52E-13,,,,
Cdkn1c,0.905395418,7,7.37E-11,,,,
Traf3,0.905395418,7,1.03E-07,,,,
Myo5a,0.905210643,7,1.95E-07,,,,
Casp3,0.905210643,7,1.85E-06,,,,
Rpp25,0.905025868,7,1.27E-06,,,,
Rad17,0.904656319,7,2.16E-06,,,,
Speer4d,0.904656319,7,2.63E-10,,,,
Ripk1,0.903732446,7,7.57E-07,,,,
Dennd1a,0.903732446,7,7.04E-07,,,,
Pramel1,0.903732446,7,7.06E-14,,,,
Ercc6l,0.903547672,7,2.06E-06,,,,
Btg2,0.903362897,7,9.46E-08,,,,
Homer2,0.902623799,7,2.34E-06,,,,
Gjc1,0.902623799,7,3.34E-17,,,,
Dpy19l4,0.902439024,7,3.09E-08,,,,
Pacs1,0.902439024,7,2.98E-07,,,,
Usp54,0.90225425,7,2.34E-06,,,,
Mef2a,0.902161863,7,9.18E-08,,,,
2810403A07Rik,0.901884701,7,2.83E-06,,,,
Dpf3,0.901699926,7,7.14E-07,,,,
1810031K17Rik,0.901699926,7,2.89E-06,,,,
1810048J11Rik,0.901699926,7,1.91E-08,,,,
Pmfbp1,0.901607539,7,1.04E-13,,,,
Gpt2,0.901515152,7,1.56E-06,,,,
Tgfbr1,0.900776053,7,2.80E-06,,,,
Cd24a,0.900776053,7,5.15E-08,,,,
Kif3b,0.900591279,7,2.18E-07,,,,
Zfp51,0.900591279,7,2.98E-06,,,,
Diap3,0.900406504,7,3.25E-06,,,,
Usp32,0.900221729,7,3.24E-06,,,,
Spred1,0.900036955,7,1.64E-09,,,,
Stk40,0.899667406,7,3.51E-06,,,,
Rab22a,0.899482631,7,2.76E-06,,,,
Pim2,0.899482631,7,7.23E-07,,,,
4831440E17Rik,0.899482631,7,4.15E-09,,,,
Pcnx,0.899297857,7,2.98E-06,,,,
Purg,0.899205469,7,2.84E-11,,,,
Caprin2,0.899113082,7,2.59E-06,,,,
Zc3h14,0.899113082,7,3.70E-06,,,,
Atf7ip,0.898928307,7,3.67E-06,,,,
Slc25a33,0.898743533,7,6.79E-07,,,,
BC060267,0.898558758,7,3.23E-10,,,,
Pet2,0.898373984,7,6.55E-09,,,,
Pikfyve,0.898189209,7,4.03E-06,,,,
Zfp867,0.898004435,7,1.34E-10,,,,
Cyb5r4,0.898004435,7,4.03E-06,,,,
Epb4.1,0.897450111,7,4.34E-06,,,,
Prdm9,0.897080562,7,3.21E-07,,,,
Srgap1,0.896895787,7,9.84E-08,,,,
Best2,0.896618625,7,1.12E-17,,,,
Pds5b,0.896526238,7,4.67E-06,,,,
Rpl28,0.896526238,7,2.61E-06,,,,
Crkl,0.896526238,7,2.38E-06,,,,
Tnks,0.896526238,7,4.28E-06,,,,
Tor1aip1,0.896156689,7,4.87E-06,,,,
Mapkapk2,0.896064302,7,2.33E-08,,,,
Stat2,0.895971914,7,9.95E-07,,,,
Csrnp2,0.895971914,7,2.58E-06,,,,
Ddx26b,0.89578714,7,1.02E-07,,,,
Tab3,0.89578714,7,4.09E-06,,,,
Akap11,0.89578714,7,6.13E-08,,,,
Cyld,0.895232816,7,4.32E-06,,,,
Fam189b,0.894863267,7,2.69E-08,,,,
Nxt2,0.894678492,7,1.81E-07,,,,
Cited2,0.894308943,7,3.28E-07,,,,
Arl4a,0.894308943,7,4.96E-06,,,,
Cldn9,0.894124169,7,6.04E-09,,,,
Pygo1,0.893847007,7,3.56E-18,,,,
Fem1a,0.893754619,7,3.58E-06,,,,
Trp53inp1,0.893569845,7,5.42E-06,,,,
H2-Gs10,0.893569845,7,5.32E-06,,,,
Cox6b2,0.893200296,7,9.91E-07,,,,
Pif1,0.893015521,7,1.06E-06,,,,
Rnpc3,0.892645972,7,6.71E-06,,,,
Dnajc12,0.892461197,7,1.11E-07,,,,
Gpr172b,0.89236881,7,3.24E-06,,,,
Pank2,0.891722099,7,3.82E-06,,,,
Fam122a,0.891537324,7,3.04E-07,,,,
Fbxo36,0.891444937,7,2.42E-08,,,,
Ccnk,0.89135255,7,7.74E-06,,,,
Nmnat1,0.89135255,7,9.71E-07,,,,
Zfyve9,0.89135255,7,3.91E-07,,,,
Zfp518a,0.890983001,7,7.35E-06,,,,
Nxt1,0.890613452,7,8.29E-06,,,,
Nup210l,0.890613452,7,6.39E-10,,,,
Cct8l1,0.889412417,7,1.49E-18,,,,
9930104L06Rik,0.888580931,7,7.57E-06,,,,
Phtf1,0.888580931,7,9.71E-07,,,,
2610039C10Rik,0.888396157,7,1.02E-05,,,,
Mia2,0.888396157,7,1.74E-12,,,,
Fbxo47,0.888026608,7,6.64E-11,,,,
Parp14,0.888026608,7,4.87E-11,,,,
Mafg,0.887841833,7,1.06E-05,,,,
Tatdn2,0.887749446,7,1.03E-05,,,,
Klhl7,0.887472284,7,1.11E-05,,,,
